Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Assets
LP001002,Male,No,0.0,Graduate,No,485467,0.0,,360.0,1.0,Urban,Y,485467.0
LP001003,Male,Yes,1.0,Graduate,No,380389,125164.0,10624.0,360.0,1.0,Rural,N,505553.0
LP001005,Male,Yes,0.0,Graduate,Yes,249000,0.0,5478.0,360.0,1.0,Urban,Y,249000.0
LP001006,Male,Yes,0.0,Not Graduate,No,214389,195714.0,9960.0,360.0,1.0,Urban,Y,410103.0
LP001008,Male,No,0.0,Graduate,No,498000,0.0,11703.0,360.0,1.0,Urban,Y,498000.0
LP001011,Male,Yes,2.0,Graduate,Yes,449611,348268.0,22161.0,360.0,1.0,Urban,Y,797879.0
LP001013,Male,Yes,0.0,Not Graduate,No,193639,125828.0,7885.0,360.0,1.0,Urban,Y,319467.0
LP001014,Male,Yes,3.0,Graduate,No,251988,207832.0,13114.0,360.0,0.0,Semiurban,N,459820.0
LP001018,Male,Yes,2.0,Graduate,No,332498,126658.0,13944.0,360.0,1.0,Urban,Y,459156.0
LP001020,Male,Yes,1.0,Graduate,No,1065803,910344.0,28967.0,360.0,1.0,Semiurban,N,1976147.0
LP001024,Male,Yes,2.0,Graduate,No,265600,58100.0,5810.0,360.0,1.0,Urban,Y,323700.0
LP001027,Male,Yes,2.0,Graduate,Yes,207500,152720.0,9047.0,360.0,1.0,Urban,Y,360220.0
LP001028,Male,Yes,2.0,Graduate,No,255059,672798.0,16600.0,360.0,1.0,Urban,Y,927857.0
LP001029,Male,No,0.0,Graduate,No,153799,235720.0,9462.0,360.0,1.0,Rural,N,389519.0
LP001030,Male,Yes,2.0,Graduate,No,107817,90138.0,1411.0,120.0,1.0,Urban,Y,197955.0
LP001032,Male,No,0.0,Graduate,No,410850,0.0,10375.0,360.0,1.0,Urban,Y,410850.0
LP001034,Male,No,1.0,Not Graduate,No,298468,0.0,8300.0,240.0,,Urban,Y,298468.0
LP001036,Female,No,0.0,Graduate,No,291330,0.0,6308.0,360.0,0.0,Urban,N,291330.0
LP001038,Male,Yes,0.0,Not Graduate,No,405621,0.0,11039.0,360.0,1.0,Rural,N,405621.0
LP001041,Male,Yes,0.0,Graduate,Yes,215800,290500.0,9545.0,,1.0,Urban,Y,506300.0
LP001043,Male,Yes,0.0,Not Graduate,No,635780,0.0,8632.0,360.0,0.0,Urban,N,635780.0
LP001046,Male,Yes,1.0,Graduate,No,494265,466875.0,26145.0,360.0,1.0,Urban,Y,961140.0
LP001047,Male,Yes,0.0,Not Graduate,No,215800,158613.0,9628.0,360.0,0.0,Semiurban,N,374413.0
LP001052,Male,Yes,1.0,Graduate,Yes,308511,242775.0,12533.0,360.0,,Semiurban,N,551286.0
LP001066,Male,Yes,0.0,Graduate,Yes,793480,0.0,15853.0,360.0,1.0,Semiurban,Y,793480.0
LP001068,Male,Yes,0.0,Graduate,No,232317,186999.0,10126.0,360.0,1.0,Semiurban,Y,419316.0
LP001073,Male,Yes,2.0,Not Graduate,No,350758,86320.0,9130.0,360.0,1.0,Urban,Y,437078.0
LP001086,Male,No,0.0,Not Graduate,No,119686,0.0,2905.0,360.0,1.0,Urban,N,119686.0
LP001087,Female,No,2.0,Graduate,Yes,311250,172889.0,9960.0,360.0,1.0,Semiurban,Y,484139.0
LP001091,Male,Yes,1.0,Graduate,Yes,345778,279627.0,16683.0,360.0,,Urban,N,625405.0
LP001095,Male,No,0.0,Graduate,No,262861,0.0,6142.0,360.0,1.0,Urban,N,262861.0
LP001097,Male,No,1.0,Graduate,Yes,389436,0.0,8798.0,360.0,1.0,Rural,N,389436.0
LP001098,Male,Yes,0.0,Graduate,No,290500,138361.0,9462.0,360.0,1.0,Semiurban,Y,428861.0
LP001100,Male,No,3.0,Graduate,No,1037500,249000.0,26560.0,360.0,1.0,Rural,N,1286500.0
LP001106,Male,Yes,0.0,Graduate,No,188825,171561.0,,360.0,1.0,Urban,Y,360386.0
LP001109,Male,Yes,0.0,Graduate,No,151724,110390.0,8300.0,,0.0,Urban,N,262114.0
LP001112,Female,Yes,0.0,Graduate,No,304361,121097.0,11952.0,360.0,1.0,Semiurban,Y,425458.0
LP001114,Male,No,0.0,Graduate,No,345778,598430.0,15272.0,360.0,1.0,Urban,Y,944208.0
LP001116,Male,No,0.0,Not Graduate,No,311084,138444.0,9130.0,360.0,1.0,Semiurban,Y,449528.0
LP001119,Male,No,0.0,Graduate,No,298800,0.0,6640.0,360.0,1.0,Urban,N,298800.0
LP001120,Male,No,0.0,Graduate,No,149400,100679.0,3901.0,360.0,1.0,Urban,Y,250079.0
LP001123,Male,Yes,0.0,Graduate,No,199200,0.0,6225.0,360.0,,Urban,Y,199200.0
LP001131,Male,Yes,0.0,Graduate,No,327103,193888.0,11122.0,360.0,1.0,Semiurban,Y,520991.0
LP001136,Male,Yes,0.0,Not Graduate,Yes,389685,0.0,7968.0,,1.0,Urban,Y,389685.0
LP001137,Female,No,0.0,Graduate,No,283030,0.0,7304.0,,1.0,Urban,Y,283030.0
LP001138,Male,Yes,1.0,Graduate,No,468867,0.0,3652.0,360.0,1.0,Urban,Y,468867.0
LP001144,Male,Yes,0.0,Graduate,No,483143,0.0,11952.0,360.0,1.0,Urban,Y,483143.0
LP001146,Female,Yes,0.0,Graduate,No,219535,285520.0,9960.0,360.0,0.0,Urban,N,505055.0
LP001151,Female,No,0.0,Graduate,No,332000,188825.0,11952.0,360.0,1.0,Semiurban,Y,520825.0
LP001155,Female,Yes,0.0,Not Graduate,No,160024,136452.0,8300.0,360.0,1.0,Semiurban,Y,296476.0
LP001157,Female,No,0.0,Graduate,No,256138,0.0,9960.0,360.0,1.0,Semiurban,Y,256138.0
LP001164,Female,No,0.0,Graduate,No,351090,0.0,9296.0,360.0,1.0,Semiurban,N,351090.0
LP001179,Male,Yes,2.0,Graduate,No,383128,0.0,11122.0,360.0,1.0,Urban,N,383128.0
LP001186,Female,Yes,1.0,Graduate,Yes,954500,0.0,23738.0,360.0,0.0,Urban,N,954500.0
LP001194,Male,Yes,2.0,Graduate,No,224764,96861.0,8051.0,360.0,1.0,Semiurban,Y,321625.0
LP001195,Male,Yes,0.0,Graduate,No,176956,132053.0,7968.0,360.0,1.0,Semiurban,Y,309009.0
LP001197,Male,Yes,0.0,Graduate,No,279378,182600.0,11205.0,360.0,1.0,Rural,N,461978.0
LP001198,Male,Yes,1.0,Graduate,No,670640,186750.0,14940.0,360.0,1.0,Urban,Y,857390.0
LP001199,Male,Yes,2.0,Not Graduate,No,278631,237297.0,11952.0,360.0,1.0,Urban,Y,515928.0
LP001205,Male,Yes,0.0,Graduate,No,207500,315068.0,9960.0,360.0,1.0,Urban,Y,522568.0
LP001206,Male,Yes,3.0,Graduate,No,251407,0.0,8217.0,360.0,1.0,Urban,Y,251407.0
LP001207,Male,Yes,0.0,Not Graduate,Yes,216547,286267.0,13695.0,180.0,0.0,Rural,N,502814.0
LP001213,Male,Yes,1.0,Graduate,No,410435,0.0,,360.0,0.0,Rural,N,410435.0
LP001222,Female,No,0.0,Graduate,No,345778,0.0,9628.0,360.0,0.0,Semiurban,N,345778.0
LP001225,Male,Yes,0.0,Graduate,No,475258,381385.0,21414.0,360.0,1.0,Semiurban,N,856643.0
